,Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,embedding,cluster,keywords
0,DHS-0000-2023,DHS,Customs and Border Protection,,AI Curated Synthetic Data,"AI Curated Synthetic Data creates synthetic data for computer vision to enable more capable and ethical AI when detecting anomalies in complex environments.

Specifically, it creates an emulated X-ray sensor that can produce visually realistic synthetic X-ray scan images similar to real X-ray scan images, and virtual 3D Assets of vehicles and narcotics containers. These images will be used to enhance the development of Anomaly Detection Algorithms for Non-Intrusive Inspection, incorporating AI/ML for the detection of narcotics and other contraband in conveyances and cargo.",Initiation,Synthetic Image Generation,,Department of Homeland Security,"[ 0.00424374 -0.00642188 -0.02936851 ...  0.00582934 -0.04499288
  0.00989102]",0,"[('detection', 0.4029), ('detecting', 0.3937), ('inspection', 0.3745), ('ai', 0.368), ('scan', 0.3467)]"
1,DHS-0001-2023,DHS,Customs and Border Protection,,AI for Autonomous Situational Awareness,"The AI for autonomous situational awareness system is intended to use IoT sensor kits to covertly detect and track illicit cross-border traffic in remote locations. 

The system will leverage a motion image/video system enhanced with Artificial Intelligence that is capable of vehicle detection and direction determination. It will also incorporate a motion sensor that, when triggered, wakes up a high-resolution camera to capture a series of pictures, with additional sensors providing confirmation prior to camera capture. 

Images captured will be processed by Artificial Intelligence models to classify objects, determine vehicle direction at intersections, and provide imagery sufficient for re-identification. Ultimately, the systems is intended to create a low footprint, low cost, low power system to provide situational awareness and covert detection.",Development and Acquisition,Machine Vision,,Department of Homeland Security,"[-0.00708998 -0.01086349 -0.03540051 ...  0.02126995 -0.03819204
  0.01713207]",0,"[('detection', 0.4075), ('sensor', 0.3976), ('iot', 0.3929), ('ai', 0.3845), ('autonomous', 0.3831)]"
2,DHS-0002-2023,DHS,Customs and Border Protection,,Automated Item of Interest Detection - ICAD,"The software analyzes photographs that are taken by field imaging equipment, which are then fed into the ICAD system for review by USBP agents and personnel. The Matroid software currently processes and annotates images using proprietary software to determine if any of the images contain human subjects.

Matroid is the name of the Video Computer Aided Detection system used by CBP. It uses trained computer vision models that recognize objects, people, and events in any image or video stream. Once a detector is trained, it can monitor streaming video in real time, or efficiently search through pre-recorded video data or images to identify objects, people, and events of interest. 

The intent for the ICAD system is to expand the models used to vehicles, and subjects with long-arm rifles, while excluding items of little or no interest such as animals.",Operation and Maintenance,Machine Learning,,Department of Homeland Security,"[ 0.00349986  0.02026583  0.03590026 ...  0.01924131 -0.01460992
 -0.00446297]",0,"[('detection', 0.4537), ('icad', 0.4165), ('imaging', 0.402), ('matroid', 0.4006), ('detector', 0.3938)]"
3,DHS-0003-2023,DHS,Customs and Border Protection,,Autonomous Aerostat,"Aerostat capability that uses three tethers instead of the traditional single tether, coupled with advanced weather sensors, analytic capabilities, and powerful winches. The AI/ML model is used to detect the need to launch and land based on weather. It also leverages AI and robotics to autonomously launch and recover the aerostat during inclement weather events without the need for on-site staffing, allowing the aerostat to operate autonomously, saving time and manpower.",Development and Acquisition,Automation & Robotics,,Department of Homeland Security,"[-0.01433939 -0.0052467   0.03418664 ...  0.01496344 -0.00456161
  0.02810901]",0,"[('aerostat', 0.5408), ('ai', 0.3306), ('sensors', 0.3044), ('tether', 0.3021), ('tethers', 0.3011)]"
4,DHS-0004-2023,DHS,Customs and Border Protection,,Autonomous Maritime Awareness,"The Autonomous Maritime Awareness system combines surveillance towers, ocean data solutions, unmanned autonomous surface vehicles (ASV), and AI to autonomously detect, identify, and track items of interest in a maritime environment.

The towers are low-cost, customizable, and relocatable surveillance systems. They are equipped with a suite of radars and day/night camera sensors. The ASVs have been ruggedized for the open ocean and are powered by wind, solar, and/or onboard engine as required, allowing them to operate in an area of responsibility (AOR) for up to 12 months. Their sensor suite includes cameras and radar. 

Both systems use AI/ML to detect and identify objects, determine items of interest (IoI) and autonomously track those items using their sensor suites. Once identified, these systems can send alerts to monitoring agencies for at-sea interdictions of potential targets and/or intel collections.",Development and Acquisition,Machine Learning Automation & Robotics,,Department of Homeland Security,"[-0.00484567  0.02103746  0.04920714 ...  0.03422436  0.00368797
  0.02801574]",0,"[('unmanned', 0.4621), ('sensor', 0.414), ('sensors', 0.4125), ('radars', 0.3975), ('autonomous', 0.3949)]"
5,DHS-0005-2023,DHS,Customs and Border Protection,,Autonomous Surveillance Towers (Anduril),"Autonomously Detects, Identifies, and Tracks items of interest using Artificial Intelligence integrated with the tower. It does not require a dedicated operator, is rapidly deployable, and is relocatable in less than a day by 2-3 people.

The system features a hybrid command and control capability, hosted in the government cloud, and is accessible via URL by desktop, laptop, tablet, or Smartphone. It is solar powered with battery backup and requires no accompanying physical infrastructure while providing visibility for 1.5 miles (2.4 km) for people, 3 miles (4.8km) for vehicles.

The Lattice system permits autonomous detection, identification, and tracking of Items of Interest (IoIs).  The tower scans constantly and autonomously.  The radar detects and recognizes movement. The camera slews autonomously to the IoI and the system software identifies the object.  The system alerts the user and autonomously tracks the IoI. End users can monitor the system and see near real time photos by logging into the User Interface on any CBP device. ",Operation and Maintenance,Machine Vision,,Department of Homeland Security,"[-0.0070186   0.00911768  0.04022168 ...  0.01865374 -0.00136964
  0.0112312 ]",0,"[('tracking', 0.4428), ('iois', 0.4331), ('ioi', 0.4285), ('autonomous', 0.4161), ('detects', 0.4109)]"
6,DHS-0006-2023,DHS,Customs and Border Protection,,Data and Entity Resolution,"Automates data unification and entity resolution with a high level of trust at enterprise scale and speed.

Data and Entity Resolution uses Machine Learning modeling to ingest multiple data sources and develop models that associate disparate records to identify probable connections, unique entities, and/or identify commonalities between multiple independently submitted records.

The automation of entity resolution within the models is supported by a tool that enables non-technical end users to continuously train models through a user-friendly interface. ",Operation and Maintenance,Natural Language Processing,,Department of Homeland Security,"[-0.02838672  0.02140879  0.04388066 ...  0.01657965 -0.02205342
  0.03187003]",3,"[('entities', 0.4508), ('unification', 0.4451), ('entity', 0.4372), ('automation', 0.4293), ('automates', 0.3812)]"
7,DHS-0007-2023,DHS,Customs and Border Protection,,Entity Resolution,"The third-party global trade data is used to augment and enrich agency’s investigations into entities of interest. It combines data from companies and goods across multiple languages, then provides network analysis to assess trade flows and risks associated with cross-border trade.

This can validate agency-held information or provide better understanding of networks of interest to the agency to better inform investigations that cross borders. AI/ML models help manage the information provided through the software, including behind-the-curtain collection of information, structuring of data, entity resolution, network analysis, risk analysis, and other functions that contribute to the software knowledge graph and frontend that end users interact with.  ",Development and Acquisition,Natural Language Processing,,Department of Homeland Security,"[-0.03413056 -0.00746606  0.04326199 ...  0.01059095 -0.0313113
  0.02358951]",3,"[('ai', 0.3444), ('agency', 0.3421), ('entities', 0.3399), ('data', 0.3349), ('networks', 0.3267)]"
8,DHS-0008-2023,DHS,Customs and Border Protection,,Geospatial imagery utilizing annotation,"Leverages a commercial constellation of Synthetic Aperture Radar (SAR) satellites with readily available data, capable of imaging any location on Earth, day, and night, regardless of cloud cover. 

Utilizes AI, including machine vision, object, detection, object recognition, and annotation to detect airframes, military vehicles, and marine vessels, as well as built-in change detection capabilities for disaster response missions.",Development and Acquisition,Machine Vision,,Department of Homeland Security,"[ 0.00330222  0.03121204  0.05644363 ...  0.0279994  -0.02859251
  0.00490546]",0,"[('sar', 0.5916), ('radar', 0.499), ('satellites', 0.4639), ('aperture', 0.3749), ('ai', 0.3742)]"
9,DHS-0009-2023,DHS,Customs and Border Protection,,Integrated Digital Environment,"The Integrated Digital Environment provides managers with a better understanding of end user workflows, most and least used applications, and opportunities for improvement. 

The AI/ML model applies to end user activity data (e.g., use of applications, flow between applications) to help CBP identify opportunities for more efficient or effective configuration of interfaces, use of resources, or development and deployment of CBP’s applications.  It tailors analytics and insight generation to allow metrics gathering, usage recording/observation, dashboarding, and workflow experimentations/suggestions to support analysts utilizing the entire suite of agency and open-source data systems. It also customizes existing capabilities to allow the exact automations needed for agency applications and systems, creating an integrated digital environment for greater connectivity and security between applications, and better ability for CBP administrators to manage and optimize use of applications by end users.",Development and Acquisition,Natural Language Processing,,Department of Homeland Security,"[-0.01180649  0.01471858  0.07690029 ... -0.02772416 -0.01677417
  0.03910899]",3,"[('automations', 0.4909), ('analytics', 0.4296), ('workflows', 0.4218), ('applications', 0.4069), ('integrated', 0.4066)]"
